epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5879,0.87438,2.48672,1.11843,0.5571,0.29181,0.31645,0.23162,1.02992,1.9495,1.13111,0.067,3.3033e-05,3.3033e-05
2,67.2528,0.71614,1.14773,1.01446,0.65004,0.48467,0.52323,0.41975,0.71773,1.05309,0.96097,0.0336993,6.57028e-05,6.57028e-05
3,102.906,0.64978,0.93486,0.97518,0.77892,0.53083,0.61416,0.49287,0.64928,0.85058,0.92934,0.000398006,9.77059e-05,9.77059e-05
4,138.307,0.59771,0.77039,0.94847,0.80697,0.58638,0.65624,0.52949,0.61383,0.72261,0.90334,9.70003e-05,9.70003e-05,9.70003e-05
5,174.062,0.60038,0.7266,0.94088,0.85755,0.5827,0.67083,0.54331,0.6113,0.69933,0.90154,9.60004e-05,9.60004e-05,9.60004e-05
6,209.866,0.56568,0.66718,0.92322,0.882,0.58753,0.68525,0.55638,0.5967,0.64766,0.90237,9.50005e-05,9.50005e-05,9.50005e-05
7,244.168,0.54589,0.63407,0.91394,0.84585,0.61868,0.68707,0.54802,0.61889,0.6442,0.90964,9.40006e-05,9.40006e-05,9.40006e-05
8,279.253,0.542,0.59447,0.90705,0.83388,0.64236,0.7039,0.57498,0.5722,0.61703,0.88436,9.30007e-05,9.30007e-05,9.30007e-05
9,313.571,0.52622,0.56037,0.90595,0.8809,0.60999,0.6994,0.56563,0.57046,0.61404,0.88658,9.20008e-05,9.20008e-05,9.20008e-05
10,347.508,0.52235,0.55018,0.89902,0.87263,0.61296,0.70483,0.57466,0.55982,0.58735,0.88632,9.10009e-05,9.10009e-05,9.10009e-05
11,381.973,0.52156,0.54355,0.89768,0.81334,0.62999,0.70484,0.57128,0.57393,0.60242,0.89077,9.0001e-05,9.0001e-05,9.0001e-05
12,417.358,0.51116,0.521,0.89425,0.91011,0.63143,0.71575,0.57712,0.56706,0.58138,0.88239,8.90011e-05,8.90011e-05,8.90011e-05
