epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8011,1.0294,2.80057,1.15627,0.06953,0.32316,0.1253,0.09337,1.16326,3.74541,1.19546,0.067,3.3033e-05,3.3033e-05
2,48.3126,0.92762,1.94173,1.10814,0.46965,0.33609,0.31776,0.24173,0.96844,1.86443,1.07951,0.0336994,6.58134e-05,6.58134e-05
3,72.3565,0.83283,1.55483,1.05398,0.59215,0.39049,0.43328,0.33207,0.85626,1.42678,0.99878,0.000398339,9.80382e-05,9.80382e-05
4,103.125,0.77283,1.33292,1.01916,0.62193,0.45021,0.48173,0.37267,0.82822,1.26861,0.98254,9.75003e-05,9.75003e-05,9.75003e-05
5,138.943,0.76088,1.22325,1.00137,0.71688,0.45799,0.51437,0.40382,0.78671,1.13474,0.95918,9.6667e-05,9.6667e-05,9.6667e-05
6,172.7,0.74319,1.15358,0.99612,0.68094,0.47836,0.52776,0.41858,0.78217,1.09648,0.95938,9.58338e-05,9.58338e-05,9.58338e-05
7,207.012,0.71017,1.09393,0.97826,0.69082,0.49575,0.54406,0.43212,0.78462,1.05731,0.95207,9.50005e-05,9.50005e-05,9.50005e-05
8,242.631,0.70206,1.03936,0.97673,0.75364,0.51338,0.56147,0.44094,0.75777,1.01185,0.9447,9.41673e-05,9.41673e-05,9.41673e-05
9,276.895,0.68922,0.98167,0.97125,0.80551,0.49777,0.56717,0.44961,0.73693,0.9775,0.93365,9.3334e-05,9.3334e-05,9.3334e-05
10,311.685,0.67625,0.95458,0.96516,0.74956,0.51772,0.58076,0.45269,0.74672,0.94379,0.94377,9.25008e-05,9.25008e-05,9.25008e-05
11,345.828,0.67574,0.93424,0.95942,0.80094,0.51282,0.58061,0.46357,0.74189,0.93529,0.93114,9.16675e-05,9.16675e-05,9.16675e-05
12,379.713,0.65768,0.90184,0.95201,0.79497,0.50694,0.58915,0.47209,0.71795,0.90089,0.92316,9.08342e-05,9.08342e-05,9.08342e-05
13,412.953,0.65878,0.90265,0.95379,0.81536,0.50164,0.59592,0.476,0.71801,0.89894,0.926,9.0001e-05,9.0001e-05,9.0001e-05
14,446.971,0.64016,0.85481,0.9422,0.7912,0.5137,0.59837,0.47813,0.7223,0.8923,0.92923,8.91677e-05,8.91677e-05,8.91677e-05
15,480.507,0.64892,0.85509,0.94862,0.83994,0.5071,0.61574,0.49363,0.69258,0.85837,0.91695,8.83345e-05,8.83345e-05,8.83345e-05
16,515.114,0.63965,0.82409,0.94285,0.83194,0.51522,0.61242,0.48809,0.71664,0.84669,0.92074,8.75013e-05,8.75013e-05,8.75013e-05
17,548.334,0.62882,0.80517,0.93883,0.84011,0.54135,0.62217,0.50299,0.68294,0.81606,0.91691,8.6668e-05,8.6668e-05,8.6668e-05
18,582.243,0.62842,0.78454,0.93788,0.87052,0.52082,0.62113,0.50166,0.6875,0.84309,0.91769,8.58348e-05,8.58348e-05,8.58348e-05
19,616.511,0.62042,0.78062,0.9295,0.87856,0.51607,0.61899,0.49674,0.68708,0.83679,0.91318,8.50015e-05,8.50015e-05,8.50015e-05
20,650.75,0.61511,0.7657,0.93044,0.82955,0.55455,0.62812,0.49759,0.69455,0.82405,0.91275,8.41683e-05,8.41683e-05,8.41683e-05
21,684.004,0.61134,0.75265,0.93051,0.84024,0.54836,0.6309,0.50936,0.69058,0.81743,0.91079,8.3335e-05,8.3335e-05,8.3335e-05
22,717.547,0.60594,0.75227,0.92532,0.84126,0.54231,0.63336,0.50723,0.6887,0.8049,0.9136,8.25017e-05,8.25017e-05,8.25017e-05
23,752.103,0.59467,0.71511,0.92163,0.78268,0.56671,0.63385,0.50434,0.68087,0.79,0.91019,8.16685e-05,8.16685e-05,8.16685e-05
24,784.241,0.58583,0.72123,0.91872,0.83774,0.55552,0.63373,0.51106,0.68078,0.78354,0.91784,8.08353e-05,8.08353e-05,8.08353e-05
25,818.219,0.59053,0.71637,0.9199,0.82022,0.56158,0.64492,0.5109,0.6808,0.78067,0.91588,8.0002e-05,8.0002e-05,8.0002e-05
26,851.761,0.59771,0.71092,0.92221,0.85729,0.54751,0.63988,0.51157,0.68037,0.77473,0.91796,7.91687e-05,7.91687e-05,7.91687e-05
27,885.659,0.58263,0.68757,0.9158,0.8188,0.58946,0.6506,0.51844,0.66504,0.74718,0.90851,7.83355e-05,7.83355e-05,7.83355e-05
28,918.928,0.58352,0.68773,0.91519,0.8278,0.56718,0.64569,0.51802,0.68179,0.76493,0.91476,7.75023e-05,7.75023e-05,7.75023e-05
29,953.347,0.57959,0.67323,0.9139,0.81899,0.58087,0.65094,0.52457,0.66425,0.74173,0.90805,7.6669e-05,7.6669e-05,7.6669e-05
30,986.378,0.58648,0.67412,0.91543,0.81554,0.57459,0.65158,0.52503,0.66082,0.74376,0.89777,7.58358e-05,7.58358e-05,7.58358e-05
31,1020.24,0.58281,0.67151,0.91015,0.82524,0.5716,0.65029,0.52089,0.6731,0.75242,0.90447,7.50025e-05,7.50025e-05,7.50025e-05
32,1053.78,0.56807,0.64599,0.9093,0.82515,0.56449,0.64864,0.52194,0.67008,0.76389,0.9068,7.41693e-05,7.41693e-05,7.41693e-05
33,1086.85,0.56485,0.64192,0.90912,0.84072,0.57286,0.65432,0.52676,0.65768,0.74738,0.90747,7.3336e-05,7.3336e-05,7.3336e-05
34,1120.02,0.55777,0.63556,0.9046,0.88093,0.56067,0.6582,0.52965,0.65691,0.72119,0.90579,7.25028e-05,7.25028e-05,7.25028e-05
35,1153.79,0.57106,0.64327,0.9071,0.84447,0.57354,0.66033,0.53163,0.65698,0.72665,0.89964,7.16695e-05,7.16695e-05,7.16695e-05
36,1185.3,0.5653,0.62855,0.90158,0.87601,0.56447,0.66275,0.52718,0.66407,0.72009,0.89793,7.08362e-05,7.08362e-05,7.08362e-05
37,1219.78,0.55991,0.61985,0.90435,0.86415,0.56955,0.6598,0.52641,0.6647,0.72965,0.90385,7.0003e-05,7.0003e-05,7.0003e-05
38,1255.15,0.55295,0.62108,0.9068,0.83237,0.58406,0.66053,0.53275,0.66104,0.72508,0.90604,6.91697e-05,6.91697e-05,6.91697e-05
39,1286.03,0.55752,0.6209,0.89868,0.86578,0.56865,0.65926,0.52927,0.66309,0.72718,0.90277,6.83365e-05,6.83365e-05,6.83365e-05
40,1319.41,0.5424,0.60114,0.8943,0.79698,0.60375,0.66128,0.52768,0.6637,0.74322,0.90693,6.75033e-05,6.75033e-05,6.75033e-05
41,1353.29,0.54591,0.60751,0.89868,0.83933,0.57583,0.66731,0.53638,0.64504,0.69902,0.89499,6.667e-05,6.667e-05,6.667e-05
42,1388.1,0.53547,0.60292,0.89726,0.79671,0.60614,0.66868,0.53764,0.63525,0.69571,0.89061,6.58367e-05,6.58367e-05,6.58367e-05
43,1423.3,0.53321,0.58282,0.89121,0.82916,0.60051,0.66661,0.53911,0.64541,0.71616,0.89643,6.50035e-05,6.50035e-05,6.50035e-05
44,1456.49,0.53466,0.58668,0.89314,0.8395,0.59603,0.66519,0.53979,0.64879,0.7187,0.90487,6.41702e-05,6.41702e-05,6.41702e-05
45,1490.47,0.53339,0.5881,0.89558,0.90331,0.55913,0.66678,0.54301,0.62669,0.69837,0.8884,6.3337e-05,6.3337e-05,6.3337e-05
46,1524.33,0.53317,0.57905,0.89132,0.81892,0.60583,0.6667,0.53973,0.63934,0.71077,0.89211,6.25038e-05,6.25038e-05,6.25038e-05
47,1558.04,0.53629,0.57322,0.89453,0.85857,0.58566,0.66734,0.53996,0.64205,0.6932,0.89557,6.16705e-05,6.16705e-05,6.16705e-05
48,1592.38,0.53259,0.5733,0.89312,0.84558,0.60233,0.67052,0.54641,0.63697,0.67896,0.89149,6.08373e-05,6.08373e-05,6.08373e-05
49,1626.85,0.53301,0.56093,0.89346,0.84076,0.59649,0.67204,0.54702,0.64201,0.68318,0.89542,6.0004e-05,6.0004e-05,6.0004e-05
50,1660.89,0.52179,0.5643,0.88781,0.83093,0.60387,0.6739,0.54837,0.63927,0.69653,0.89187,5.91708e-05,5.91708e-05,5.91708e-05
