epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2193.76,0.36224,0.30292,0.83945,0.91035,0.72206,0.81155,0.68789,0.43475,0.39229,0.87264,6.83365e-05,6.83365e-05,6.83365e-05
40,2248.19,0.35399,0.29868,0.83556,0.92221,0.70994,0.79963,0.67461,0.45065,0.42106,0.87906,6.75033e-05,6.75033e-05,6.75033e-05
41,2302.68,0.35251,0.29421,0.83789,0.93115,0.70111,0.80214,0.67764,0.45083,0.41274,0.87692,6.667e-05,6.667e-05,6.667e-05
42,2357.2,0.34036,0.28782,0.83646,0.92385,0.71339,0.80535,0.677,0.45629,0.40691,0.88172,6.58367e-05,6.58367e-05,6.58367e-05
43,2411.58,0.34346,0.28336,0.83437,0.94559,0.70583,0.80302,0.68332,0.43646,0.41598,0.8798,6.50035e-05,6.50035e-05,6.50035e-05
44,2467.39,0.34984,0.29247,0.83794,0.94133,0.72383,0.80978,0.68642,0.43938,0.41054,0.8803,6.41702e-05,6.41702e-05,6.41702e-05
45,2523.01,0.34731,0.28578,0.83853,0.89727,0.73373,0.80091,0.67998,0.44473,0.39416,0.88073,6.3337e-05,6.3337e-05,6.3337e-05
46,2578.8,0.34637,0.28372,0.83468,0.91867,0.72301,0.80717,0.68763,0.43173,0.37753,0.86917,6.25038e-05,6.25038e-05,6.25038e-05
47,2633.84,0.34975,0.28592,0.83618,0.9482,0.71325,0.80482,0.67686,0.44645,0.39019,0.87774,6.16705e-05,6.16705e-05,6.16705e-05
48,2688.54,0.34044,0.27877,0.83167,0.89303,0.74504,0.811,0.68657,0.44114,0.39332,0.87068,6.08373e-05,6.08373e-05,6.08373e-05
49,2743.08,0.33745,0.27469,0.82987,0.92354,0.71285,0.8087,0.68764,0.44029,0.39563,0.87148,6.0004e-05,6.0004e-05,6.0004e-05
